context_id,Average Memory Usage Percentage,InnoDB Buffer Pool Cache Hit Rate,InnoDB Dirty Buffer Pages,Current QPS (Queries Per Second),Max CPU Usage (100 - Idle),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),Average Disk IOPS (Read),Average Disk IOPS (Write)
12c16g_10-4-4-tpcc-nan,13.208669145133133,96.64864342527012,19537.36363636364,5442.624656011549,47.850909090854906,83.55762766961256,1079.9493515843596,9177.730961051428,2165.973081178766,1798.8127272727272,6357.927272727273
12c16g_100-4-4-tpcc-nan,13.207330099512337,89.80572927431585,14312.272727272728,2858.4454545454546,45.84363636171276,43.12,568.6418181818182,4810.267272727273,1130.28,3667.2981818181815,5219.272727272727
12c16g_64-1000000-4-oltp_read_write_20-0.2,13.547405634522482,95.38455893769624,22902.272727272728,2578.32,45.652727271345526,644.2381818181818,644.2381818181818,33981.269090909096,644.2054545454546,2306.889090909091,7248.214545454545
12c16g_64-1000000-4-oltp_read_write_20-0.6,13.743495032572342,95.73609440450214,25458.545454545456,2847.614545454546,46.24363636360927,711.5345454545454,711.5618181818182,37533.86181818182,711.4581818181819,2257.209090909091,7481.023636363637
12c16g_64-1000000-4-oltp_read_write_20-1.0,13.758259947177862,98.09799625832642,33254.454545454544,5519.770909090909,47.37272727354007,1379.450909090909,1379.4418181818182,72781.10181818182,1379.6054545454544,1547.2454545454543,7293.683636363637
12c16g_64-1000000-4-oltp_read_write_5-0.2,13.93436325935036,95.0197098043366,28732.272727272728,2327.536363636364,46.723636363717645,570.08,570.0745454545455,10831.76909090909,1026.2818181818182,1988.4054545454544,7892.16
12c16g_64-1000000-4-oltp_read_write_5-0.6,13.96490677929582,95.9526146485472,31186.90909090909,2631.1763636363635,49.58909090947021,644.5145454545454,644.5090909090909,12247.687272727271,1160.2054545454546,1882.7036363636364,8031.105454545454
12c16g_64-1000000-4-oltp_read_write_5-1.0,13.714255145470927,98.07086572764732,40243.63636363636,5584.240000000001,47.75999999994581,1362.432727272727,1362.429090909091,26222.521818181816,2470.62,1436.5890909090908,7776.032727272727
12c16g_64-1000000-4-oltp_read_write_50-0.2,13.807950712851447,92.86175053790076,16092.90909090909,2872.254545454545,44.68363636461172,382.7872727272727,382.79090909090905,40570.181818181816,574.1363636363636,3021.5745454545454,5986.849090909091
12c16g_64-1000000-4-oltp_read_write_50-0.6,13.413430246889249,94.1452449639951,17132.727272727272,3345.677956131913,45.35454545305534,445.90239294357656,445.89511999810895,47262.45187453065,668.8435902881446,2846.887272727273,6207.674545454545
