target,source,n_shared,kendalltau,similarity_score
112c125g_10-4-4-tpcc-nan,12c16g_10-4-4-tpcc-nan,582,0.533965,0.766983
112c125g_10-4-4-tpcc-nan,12c16g_100-4-4-tpcc-nan,582,0.398695,0.699348
112c125g_10-4-4-tpcc-nan,12c16g_50-4-4-tpcc-nan,582,0.401636,0.700818
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_only-0.2,582,0.342325,0.671162
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_only-0.6,582,0.340729,0.670365
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_only-1.0,582,0.308411,0.654206
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_20-0.2,582,0.487034,0.743517
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_20-0.6,582,0.47793,0.738965
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_20-1.0,582,0.218882,0.609441
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_5-0.2,582,0.456359,0.728179
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_5-0.6,582,0.41066,0.70533
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_5-1.0,582,0.264961,0.632481
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_50-0.2,582,0.428824,0.714412
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_50-0.6,582,0.3994,0.6997
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_50-1.0,582,0.200021,0.60001
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_80-0.2,582,0.37168,0.68584
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_80-0.6,582,0.395078,0.697539
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_80-1.0,582,0.244705,0.622353
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_95-0.2,582,0.343863,0.671931
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_95-0.6,582,0.345893,0.672947
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_95-1.0,582,0.306247,0.653124
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_write_only-0.2,582,0.266906,0.633453
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_write_only-0.6,582,0.175466,0.587733
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_write_only-1.0,582,0.125397,0.562699
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_only-0.2,582,0.320547,0.660274
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_only-0.6,582,0.289244,0.644622
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_only-1.0,582,0.311013,0.655506
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_20-0.2,582,0.408739,0.704369
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_20-0.6,582,0.409574,0.704787
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_20-1.0,582,0.447026,0.723513
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_5-0.2,582,0.365045,0.682523
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_5-0.6,582,0.344363,0.672181
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_5-1.0,582,0.276465,0.638232
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_50-0.2,582,0.310373,0.655187
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_50-0.6,582,0.365852,0.682926
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_50-1.0,582,0.399779,0.699889
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_80-0.2,582,0.249498,0.624749
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_80-0.6,582,0.319656,0.659828
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_80-1.0,582,0.324947,0.662473
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_95-0.2,582,0.287912,0.643956
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_95-0.6,582,0.319799,0.659899
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_95-1.0,582,0.317505,0.658753
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_write_only-0.2,582,0.304687,0.652343
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_write_only-0.6,582,0.367981,0.68399
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_write_only-1.0,582,0.204164,0.602082
112c125g_10-4-4-tpcc-nan,16c24g_10-4-4-tpcc-nan,643,0.439653,0.719827
112c125g_10-4-4-tpcc-nan,16c24g_100-4-4-tpcc-nan,643,0.322605,0.661303
112c125g_10-4-4-tpcc-nan,16c24g_50-4-4-tpcc-nan,643,0.361134,0.680567
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_only-0.2,643,0.297319,0.648659
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_only-0.6,643,0.310341,0.655171
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_only-1.0,643,0.328608,0.664304
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_20-0.2,643,0.4743,0.73715
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_20-0.6,643,0.479007,0.739503
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_20-1.0,643,0.207531,0.603765
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_5-0.2,643,0.437826,0.718913
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_5-0.6,643,0.358984,0.679492
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_5-1.0,643,0.229126,0.614563
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_50-0.2,643,0.416971,0.708486
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_50-0.6,643,0.390776,0.695388
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_50-1.0,643,0.178133,0.589067
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_80-0.2,643,0.350606,0.675303
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_80-0.6,643,0.365913,0.682956
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_80-1.0,643,0.235859,0.617929
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_95-0.2,643,0.332091,0.666046
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_95-0.6,643,0.32161,0.660805
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_read_write_95-1.0,643,0.273813,0.636906
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_write_only-0.2,643,0.247789,0.623894
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_write_only-0.6,643,0.14331,0.571655
112c125g_10-4-4-tpcc-nan,16c24g_64-100000-4-oltp_write_only-1.0,643,0.091985,0.545993
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_only-0.2,643,0.270791,0.635395
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_only-0.6,643,0.28162,0.64081
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_only-1.0,643,0.271333,0.635666
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_20-0.2,643,0.3455,0.67275
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_20-0.6,643,0.369352,0.684676
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_20-1.0,643,0.431067,0.715534
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_5-0.2,643,0.350539,0.675269
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_5-0.6,643,0.38447,0.692235
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_5-1.0,643,0.273504,0.636752
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_50-0.2,643,0.218213,0.609106
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_50-0.6,643,0.292382,0.646191
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_50-1.0,643,0.360982,0.680491
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_80-0.2,643,0.239724,0.619862
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_80-0.6,643,0.272032,0.636016
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_80-1.0,643,0.306889,0.653444
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_95-0.2,643,0.253963,0.626982
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_95-0.6,643,0.279907,0.639954
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_95-1.0,643,0.300217,0.650109
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_write_only-0.2,643,0.29199,0.645995
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_write_only-0.6,643,0.326009,0.663005
112c125g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_write_only-1.0,643,0.147367,0.573683
112c125g_10-4-4-tpcc-nan,24c32g_10-4-4-tpcc-nan,744,0.483642,0.741821
112c125g_10-4-4-tpcc-nan,24c32g_100-4-4-tpcc-nan,744,0.355985,0.677992
112c125g_10-4-4-tpcc-nan,24c32g_50-4-4-tpcc-nan,744,0.384931,0.692465
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_only-0.2,744,0.292508,0.646254
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_only-0.6,744,0.290201,0.645101
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_only-1.0,744,0.304529,0.652264
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_20-0.2,744,0.490427,0.745213
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_20-0.6,744,0.489454,0.744727
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_20-1.0,744,0.181552,0.590776
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_5-0.2,744,0.484119,0.742059
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_5-0.6,744,0.35906,0.67953
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_5-1.0,744,0.272991,0.636495
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_50-0.2,744,0.449055,0.724527
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_50-0.6,744,0.399315,0.699658
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_50-1.0,744,0.191302,0.595651
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_80-0.2,744,0.373037,0.686519
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_80-0.6,744,0.376823,0.688412
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_80-1.0,744,0.231723,0.615861
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_95-0.2,744,0.343237,0.671618
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_95-0.6,744,0.339221,0.669611
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_read_write_95-1.0,744,0.298333,0.649166
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_write_only-0.2,744,0.261462,0.630731
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_write_only-0.6,744,0.188989,0.594494
112c125g_10-4-4-tpcc-nan,24c32g_64-100000-4-oltp_write_only-1.0,744,0.110301,0.55515
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_only-0.2,744,0.239455,0.619728
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_only-0.6,744,0.264347,0.632173
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_only-1.0,744,0.281339,0.64067
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_20-0.2,744,0.395756,0.697878
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_20-0.6,744,0.420676,0.710338
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_20-1.0,744,0.436071,0.718036
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_5-0.2,744,0.399933,0.699967
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_5-0.6,744,0.394813,0.697406
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_5-1.0,744,0.313505,0.656752
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_50-0.2,744,0.265634,0.632817
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_50-0.6,744,0.340944,0.670472
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_50-1.0,744,0.328631,0.664315
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_80-0.2,744,0.270507,0.635253
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_80-0.6,744,0.288201,0.6441
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_80-1.0,744,0.321883,0.660941
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_95-0.2,744,0.286305,0.643152
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_95-0.6,744,0.297337,0.648668
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_95-1.0,744,0.309397,0.654699
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_write_only-0.2,744,0.270452,0.635226
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_write_only-0.6,744,0.298624,0.649312
112c125g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_write_only-1.0,744,0.166006,0.583003
112c125g_10-4-4-tpcc-nan,32c64g_10-4-4-tpcc-nan,815,0.468319,0.73416
112c125g_10-4-4-tpcc-nan,32c64g_100-4-4-tpcc-nan,815,0.382584,0.691292
112c125g_10-4-4-tpcc-nan,32c64g_50-4-4-tpcc-nan,815,0.408099,0.704049
112c125g_10-4-4-tpcc-nan,32c64g_64-100000-4-oltp_read_only-0.2,815,0.282723,0.641361
112c125g_10-4-4-tpcc-nan,32c64g_64-100000-4-oltp_read_only-0.6,815,0.285449,0.642725
112c125g_10-4-4-tpcc-nan,32c64g_64-100000-4-oltp_read_only-1.0,815,0.293249,0.646625
