held_out,family,default,raw,embed,concordance,ot114,top5_direct,top1_direct,rf,oracle
12c16g_64-100000-4-oltp_read_only-0.2,oltp_read_only,0.500663173088176,0.4900524036773598,0.9916388177314279,0.9916388177314279,0.9916388177314279,0.9916388177314279,0.9969897143154364,0.4900524036773598,1.0
12c16g_64-100000-4-oltp_read_only-0.6,oltp_read_only,0.6232190763941343,0.6199242049331909,0.6199242049331909,0.9990232594483369,0.9973758237178653,0.996379548355169,0.9992902351991249,0.9990232594483369,0.9992902351991249
12c16g_64-100000-4-oltp_read_only-1.0,oltp_read_only,0.8903560732113145,0.8883194675540765,0.8883194675540765,0.977630615640599,0.9831613976705491,0.996053244592346,0.996232945091514,0.996053244592346,0.9967454242928452
12c16g_64-1000000-4-oltp_read_only-0.2,oltp_read_only,0.8239274597374475,0.8385663373483105,0.8385663373483105,0.9681282988225741,0.8385663373483105,0.9635268642576804,0.9635268642576804,0.9748500022556053,0.9976767266657645
12c16g_64-1000000-4-oltp_read_only-0.6,oltp_read_only,0.7614198214153938,0.9948158807468085,0.9662940004427718,0.9662940004427718,0.9662940004427718,0.9662940004427718,0.9662940004427718,0.8800457530809535,1.0
12c16g_64-1000000-4-oltp_read_only-1.0,oltp_read_only,0.8281984233430147,0.7797408261528219,0.9887491918909271,0.9640186419907949,0.9559520248559878,0.9887491918909271,0.9858448237598543,0.9858448237598543,1.0
16c24g_64-100000-4-oltp_read_only-0.2,oltp_read_only,0.4576874537024335,0.4496831188784329,0.993141101264781,0.9875373809981068,0.9990466130758044,0.9950272984169661,0.9944031386320612,0.993141101264781,0.999156355455568
16c24g_64-100000-4-oltp_read_only-0.6,oltp_read_only,0.5657244229301466,0.5619082326569623,0.5619082326569623,0.9878500752924028,0.9878500752924028,0.9878500752924028,0.9830643664092744,0.9878500752924028,1.0
16c24g_64-100000-4-oltp_read_only-1.0,oltp_read_only,0.8651596981294037,0.8620122321971457,0.8620122321971457,1.0,0.998233127078937,0.9901498622983654,0.998233127078937,0.9851496834650738,1.0
16c24g_64-1000000-4-oltp_read_only-0.2,oltp_read_only,0.818595948914016,0.9496732557824236,0.9496732557824236,0.9496732557824236,0.9496732557824236,0.9837848097833455,0.9837848097833455,0.9735893055668537,0.9918110577835624
16c24g_64-1000000-4-oltp_read_only-0.6,oltp_read_only,0.7617497323398955,0.9853169314134638,0.9853169314134638,0.9769921559202045,0.9853169314134638,0.9878078091201082,0.9899709397600891,0.7181156728647279,0.9958266873511481
16c24g_64-1000000-4-oltp_read_only-1.0,oltp_read_only,0.8245320364191596,0.8218854266809931,0.9927161680710287,0.9900582480348358,0.9949216761861674,1.0,0.9927161680710287,0.9927161680710287,1.0
24c32g_64-100000-4-oltp_read_only-0.2,oltp_read_only,0.4539901721250721,0.43905619458094275,0.9825335602712275,0.9825335602712275,0.9844071705053943,0.9942487715156341,1.0,0.9825335602712275,1.0
24c32g_64-100000-4-oltp_read_only-0.6,oltp_read_only,0.5838696075923994,0.5726579618582853,0.5726579618582853,0.9972627548022754,0.9902537481596172,0.9989493402271361,0.9877376944930221,0.9892030883867533,0.9989493402271361
24c32g_64-100000-4-oltp_read_only-1.0,oltp_read_only,0.8632134395864741,0.8614473400818436,0.8614473400818436,0.9959078182209777,0.8582812836528106,0.9873429535501471,0.9953550147174959,0.8614473400818436,0.996855481369804
24c32g_64-1000000-4-oltp_read_only-0.2,oltp_read_only,0.8138190776227585,0.9714096217163702,0.9702252647037923,0.9714096217163702,0.8189118127768434,0.9714096217163702,0.9714096217163702,0.9702252647037923,1.0
24c32g_64-1000000-4-oltp_read_only-0.6,oltp_read_only,0.7704536346113475,0.9831676177026278,0.9729193305215749,0.9831676177026278,0.9729193305215749,0.9831676177026278,1.0,0.9807439073264757,1.0
24c32g_64-1000000-4-oltp_read_only-1.0,oltp_read_only,0.8307374839271641,0.8188332158115227,0.9980608901240201,1.0,0.9572358870131487,0.9841345555601642,1.0,0.9980608901240201,1.0
32c64g_64-100000-4-oltp_read_only-0.2,oltp_read_only,0.47712585872530644,0.47000624527495644,0.9938204647799361,0.9938204647799361,0.9880748118200046,0.9893830325740394,0.9908227328008414,0.9938204647799361,1.0
32c64g_64-100000-4-oltp_read_only-0.6,oltp_read_only,0.5933149647204267,0.5894483497839824,0.5894483497839824,0.9854607387338808,0.9970079765372754,0.9942263810983027,1.0,0.9942263810983027,1.0
32c64g_64-100000-4-oltp_read_only-1.0,oltp_read_only,0.8788596151098957,0.8749141173989647,0.8749141173989647,0.9908233165309551,0.9911838533907471,0.9936395855866887,0.9960817126181098,0.8749141173989647,0.9973469929185119
32c64g_64-1000000-4-oltp_read_only-0.2,oltp_read_only,0.8139086388772713,0.981132952274734,0.9858729494865004,0.9729308982759423,0.9729308982759423,0.9887076537013801,0.9887076537013801,0.9729308982759423,0.9887076537013801
32c64g_64-1000000-4-oltp_read_only-0.6,oltp_read_only,0.7677643309685497,0.9894153799461286,0.9906483554004326,0.9894153799461286,0.9906483554004326,0.9925831784210327,0.986494176562085,0.9906483554004326,1.0
32c64g_64-1000000-4-oltp_read_only-1.0,oltp_read_only,0.8364435137853873,0.7938350680544435,0.9920962410954404,0.9896224672045328,0.9839358666420316,0.9885446818993656,0.9936051405226746,0.9839358666420316,1.0
4c6g_64-100000-4-oltp_read_only-0.2,oltp_read_only,0.4719681692569885,0.47113980947725065,0.9743412163309094,0.9743412163309094,0.9743412163309094,0.9725487000862308,0.9725487000862308,0.9743412163309094,1.0
4c6g_64-100000-4-oltp_read_only-0.6,oltp_read_only,0.601622579765476,0.5912394327788383,0.5912394327788383,0.9765134987728388,0.9765134987728388,0.9780610853558767,0.9815789473684211,0.9765134987728388,1.0
4c6g_64-100000-4-oltp_read_only-1.0,oltp_read_only,0.8705915217543123,0.8606397094769187,0.8606397094769187,0.9884978001257071,0.9824149731126475,0.9875968992248062,1.0,0.9824149731126475,1.0
4c6g_64-1000000-4-oltp_read_only-0.2,oltp_read_only,0.819761680322916,0.9935223454910207,0.9935223454910207,0.9917337393952578,0.9935223454910207,0.9935223454910207,0.9935223454910207,0.9935223454910207,0.9954801440553017
4c6g_64-1000000-4-oltp_read_only-0.6,oltp_read_only,0.7804834413390053,0.9873573728779866,0.9873573728779866,0.9795054267880571,0.9873573728779866,0.9873573728779866,0.9934003896155529,0.9873573728779866,1.0
4c6g_64-1000000-4-oltp_read_only-1.0,oltp_read_only,0.844950829614868,0.8262682493610015,0.9748949443313261,1.0,0.9748949443313261,0.9854871550491703,0.9487934843824458,0.9748949443313261,1.0
88c190g_64-1000000-4-oltp_read_only-0.2,oltp_read_only,0.8339443476170442,0.9727948394334595,0.9778432197447763,0.9817497045094857,0.9667848628723681,0.987379049221708,0.9727948394334595,0.987379049221708,0.9917663321113047
88c190g_64-1000000-4-oltp_read_only-0.6,oltp_read_only,0.7829669418747306,0.9844822441062371,0.974137073510395,0.9844822441062371,0.9844822441062371,0.983918564939156,0.9844822441062371,0.983918564939156,0.997546337743294
88c190g_64-1000000-4-oltp_read_only-1.0,oltp_read_only,0.6697271519980684,0.667101291802487,0.9808463117228058,0.9937884824339008,0.9897561270071231,0.9937884824339008,0.9958227695279489,0.9889713871785585,1.0
8c12g_64-100000-4-oltp_read_only-0.2,oltp_read_only,0.48774864041839494,0.4790365624936979,0.98765116732433,0.98765116732433,0.98765116732433,0.9889687346647935,0.9937348328504494,0.4790365624936979,1.0
8c12g_64-100000-4-oltp_read_only-0.6,oltp_read_only,0.6157165096491934,0.6110126956008267,0.6110126956008267,0.9702539120165339,0.9750583782913278,1.0,1.0,0.9702539120165339,1.0
8c12g_64-100000-4-oltp_read_only-1.0,oltp_read_only,0.8907196812484436,0.8853448991450154,0.8853448991450154,0.9942931850253175,0.9919966243324755,0.9983329182922442,0.9983329182922442,0.8853448991450154,0.9983329182922442
8c12g_64-1000000-4-oltp_read_only-0.2,oltp_read_only,0.8135291198628593,0.9844588803175892,0.9844588803175892,0.9581810799837597,0.9844588803175892,0.9947444399332341,0.9994812108088601,0.9844588803175892,0.9994812108088601
8c12g_64-1000000-4-oltp_read_only-0.6,oltp_read_only,0.7733263928910041,0.9774125783123572,0.9890502128608876,0.9905374505028723,0.9774125783123572,0.9774125783123572,0.9896822888587311,0.751055009202283,0.9905374505028723
8c12g_64-1000000-4-oltp_read_only-1.0,oltp_read_only,0.832093079382957,0.8188491784155588,0.9781983467750046,0.981989501417912,0.9781983467750046,0.9891997345186139,1.0,0.9781983467750046,1.0
12c16g_64-100000-4-oltp_read_write_20-0.2,oltp_read_write_20,0.40040511155461556,0.5709094158648834,0.9990467963420809,0.9990467963420809,0.9927020344940574,0.9927020344940574,0.9927020344940574,0.9990467963420809,1.0
12c16g_64-100000-4-oltp_read_write_20-0.6,oltp_read_write_20,0.521215171882865,0.9864980901903888,1.0,1.0,0.6365439848399609,0.9864980901903888,1.0,0.9864980901903888,1.0
12c16g_64-100000-4-oltp_read_write_20-1.0,oltp_read_write_20,0.7495583261824239,0.8404421785876532,0.8404421785876532,0.895159254959366,0.9062137196506991,0.9318308010701124,0.9062137196506991,0.9062137196506991,0.9569935894200191
12c16g_64-1000000-4-oltp_read_write_20-0.2,oltp_read_write_20,0.6081911262798635,0.8826621160409557,0.81160409556314,0.8241638225255973,1.0,0.9883959044368601,0.9883959044368601,0.9883959044368601,1.0
12c16g_64-1000000-4-oltp_read_write_20-0.6,oltp_read_write_20,0.5519222020018199,0.8085191082802546,0.8085191082802546,0.9906164695177434,0.8063011828935396,0.8085191082802546,0.9906164695177434,1.0,1.0
12c16g_64-1000000-4-oltp_read_write_20-1.0,oltp_read_write_20,0.6858188403063341,1.0,0.9448447579884559,0.9448447579884559,0.6988342701927793,0.9448447579884559,1.0,1.0,1.0
16c24g_64-100000-4-oltp_read_write_20-0.2,oltp_read_write_20,0.40513269618855424,0.932338270570765,0.9939458553859042,0.9939458553859042,0.5076343144347562,0.9939458553859042,1.0,0.9939458553859042,1.0
16c24g_64-100000-4-oltp_read_write_20-0.6,oltp_read_write_20,0.5177981375788525,0.907104235506158,0.9822394112346049,0.98276509462301,0.5811429858816461,0.98276509462301,0.9822394112346049,0.9822394112346049,1.0
16c24g_64-100000-4-oltp_read_write_20-1.0,oltp_read_write_20,0.7065765765765766,0.8005105105105105,0.8005105105105105,0.8262462462462462,0.8262462462462462,0.8262462462462462,0.8273573573573574,0.8273573573573574,0.8948648648648649
16c24g_64-1000000-4-oltp_read_write_20-0.2,oltp_read_write_20,0.5408958130477117,0.9605647517039922,0.9525316455696203,1.0,1.0,0.8736611489776047,0.9605647517039922,0.9255111976630965,1.0
16c24g_64-1000000-4-oltp_read_write_20-0.6,oltp_read_write_20,0.5038059474271795,1.0,0.8814574241347812,1.0,0.8757738759768599,1.0,1.0,0.9472241956764437,1.0
16c24g_64-1000000-4-oltp_read_write_20-1.0,oltp_read_write_20,0.5634091153970477,0.6119491434112704,0.9668139209136947,0.9271091477211507,0.9271091477211507,0.7676435728908523,1.0,1.0,1.0
24c32g_64-100000-4-oltp_read_write_20-0.2,oltp_read_write_20,0.39188516746411484,0.9484019138755981,0.9960574162679426,0.9960574162679426,0.9960574162679426,0.9893588516746412,0.9960574162679426,0.9960574162679426,1.0
24c32g_64-100000-4-oltp_read_write_20-0.6,oltp_read_write_20,0.5148572089258874,0.998843796970748,0.998843796970748,0.998843796970748,0.5518557058619493,0.9880911087987049,0.998843796970748,0.998843796970748,1.0
24c32g_64-100000-4-oltp_read_write_20-1.0,oltp_read_write_20,0.7209930861093652,0.8181646763042112,0.8181646763042112,0.8702074167190446,0.8757071024512885,0.838874921433061,0.8757071024512885,0.8702074167190446,0.9524198617221874
24c32g_64-1000000-4-oltp_read_write_20-0.2,oltp_read_write_20,0.5814230425721941,0.9588171082663492,0.9172372729979161,0.9588171082663492,0.9588171082663492,0.7838642453111044,0.8354669048327875,0.8354669048327875,1.0
24c32g_64-1000000-4-oltp_read_write_20-0.6,oltp_read_write_20,0.5465632894851468,1.0,0.8930220402474083,0.9583587420507013,1.0,0.7669657635682551,0.893196271452217,0.893196271452217,1.0
