target,source,n_top_target,n_top_source,intersect,union,top5_overlap
112c125g_10-4-4-tpcc-nan,12c16g_10-4-4-tpcc-nan,41,30,12,59,0.20339
112c125g_10-4-4-tpcc-nan,12c16g_100-4-4-tpcc-nan,41,30,4,67,0.059701
112c125g_10-4-4-tpcc-nan,12c16g_50-4-4-tpcc-nan,41,30,9,62,0.145161
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_only-0.2,41,30,4,67,0.059701
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_only-0.6,41,30,5,66,0.075758
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_only-1.0,41,30,0,71,0.0
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_20-0.2,41,30,15,56,0.267857
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_20-0.6,41,30,15,56,0.267857
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_20-1.0,41,30,0,71,0.0
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_5-0.2,41,30,15,56,0.267857
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_5-0.6,41,30,15,56,0.267857
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_5-1.0,41,30,15,56,0.267857
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_50-0.2,41,30,11,60,0.183333
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_50-0.6,41,30,6,65,0.092308
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_50-1.0,41,30,0,71,0.0
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_80-0.2,41,30,9,62,0.145161
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_80-0.6,41,30,7,64,0.109375
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_80-1.0,41,30,0,71,0.0
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_95-0.2,41,30,8,63,0.126984
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_95-0.6,41,30,9,62,0.145161
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_read_write_95-1.0,41,30,0,71,0.0
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_write_only-0.2,41,30,0,71,0.0
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_write_only-0.6,41,30,0,71,0.0
112c125g_10-4-4-tpcc-nan,12c16g_64-100000-4-oltp_write_only-1.0,41,30,0,71,0.0
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_only-0.2,41,30,3,68,0.044118
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_only-0.6,41,30,2,69,0.028986
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_only-1.0,41,30,1,70,0.014286
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_20-0.2,41,30,10,61,0.163934
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_20-0.6,41,30,11,60,0.183333
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_20-1.0,41,30,9,62,0.145161
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_5-0.2,41,30,11,60,0.183333
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_5-0.6,41,30,11,60,0.183333
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_5-1.0,41,30,15,56,0.267857
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_50-0.2,41,30,6,65,0.092308
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_50-0.6,41,30,6,65,0.092308
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_50-1.0,41,30,0,71,0.0
112c125g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_80-0.2,41,30,6,65,0.092308
