target,family,table_size,hw,default_ratio,raw_ratio,raw_src,embed_ratio,embed_src,ot_ratio,ot_src,oracle_ratio
12c16g_10-4-4-tpcc-nan,tpcc,tpcc,12c16g,0.5914,0.9098,12c16g_64-1000000-4-oltp_read_write_50-1.0,0.5697,12c16g_64-1000000-4-oltp_read_write_5-0.2,0.9682,8c12g_64-1000000-4-oltp_read_write_5-1.0,1.0
12c16g_100-4-4-tpcc-nan,tpcc,tpcc,12c16g,0.619,0.9783,12c16g_64-1000000-4-oltp_read_write_50-0.2,0.9783,8c12g_64-1000000-4-oltp_read_write_50-0.2,0.9783,8c12g_64-1000000-4-oltp_read_write_50-0.2,1.0
12c16g_50-4-4-tpcc-nan,tpcc,tpcc,12c16g,0.5476,0.895,16c24g_64-1000000-4-oltp_read_write_50-0.2,0.9688,8c12g_64-1000000-4-oltp_read_write_50-0.2,0.895,16c24g_64-1000000-4-oltp_read_write_50-0.6,1.0
12c16g_64-100000-4-oltp_read_only-0.2,oltp_read_only,100000,12c16g,0.5045,0.9916,8c12g_64-1000000-4-oltp_read_write_95-1.0,0.9916,4c6g_64-1000000-4-oltp_read_write_95-0.2,0.9916,12c16g_64-100000-4-oltp_read_write_95-0.6,1.0
12c16g_64-100000-4-oltp_read_only-0.6,oltp_read_only,100000,12c16g,0.6239,0.999,12c16g_64-100000-4-oltp_read_write_95-0.6,0.999,4c6g_64-1000000-4-oltp_read_write_95-0.2,0.9974,12c16g_64-100000-4-oltp_read_write_95-1.0,0.9993
12c16g_64-100000-4-oltp_read_only-1.0,oltp_read_only,100000,12c16g,0.8932,0.9832,12c16g_64-100000-4-oltp_read_write_95-1.0,0.9961,4c6g_64-1000000-4-oltp_read_write_95-0.2,0.9961,12c16g_64-100000-4-oltp_read_write_95-0.6,0.9967
12c16g_64-100000-4-oltp_read_write_50-0.2,oltp_read_write_50,100000,12c16g,0.4602,0.9972,16c24g_64-1000000-4-oltp_read_write_20-1.0,0.8024,8c12g_64-1000000-4-oltp_read_write_20-0.6,0.9881,12c16g_64-100000-4-oltp_read_write_20-0.2,1.0
12c16g_64-100000-4-oltp_read_write_50-0.6,oltp_read_write_50,100000,12c16g,0.5636,0.9945,12c16g_64-100000-4-oltp_read_write_20-0.2,0.7778,12c16g_64-1000000-4-oltp_read_write_20-0.6,0.9902,12c16g_64-100000-4-oltp_read_write_20-0.6,1.0
12c16g_64-100000-4-oltp_read_write_50-1.0,oltp_read_write_50,100000,12c16g,0.5545,0.7663,24c32g_64-100000-4-oltp_read_write_20-1.0,1.0,16c24g_64-1000000-4-oltp_write_only-1.0,0.7873,12c16g_64-100000-4-oltp_read_write_20-1.0,1.0
12c16g_64-100000-4-oltp_write_only-0.2,oltp_write_only,100000,12c16g,0.5176,0.6222,24c32g_64-100000-4-oltp_read_write_50-0.6,0.9727,4c6g_64-100000-4-oltp_read_write_50-1.0,0.497,12c16g_64-1000000-4-oltp_read_write_20-0.6,1.0
12c16g_64-100000-4-oltp_write_only-0.6,oltp_write_only,100000,12c16g,0.4876,0.5567,12c16g_64-100000-4-oltp_read_write_50-0.2,0.973,16c24g_64-100000-4-oltp_read_write_50-1.0,0.5567,12c16g_64-100000-4-oltp_read_write_5-0.2,1.0
